Go.	Va !
I can play the piano.	Je sais jouer du piano.
I can read your mind.	J'arrive à lire ce que tu as en tête.
I can read your mind.	J'arrive à lire ce que vous avez en tête.
I can ride a bicycle.	Je sais monter à vélo.
I can ride a bicycle.	Je sais faire du vélo.
I can squeeze you in.	Je peux t'insérer.
I can squeeze you in.	Je peux vous insérer.
I can squeeze you in.	Je peux vous faire entrer.
I can squeeze you in.	Je peux te faire entrer.
I can swim very fast.	Je peux nager très vite.
I can take a message.	Je peux prendre un message.
I can talk for a bit.	Je peux parler un peu.
I can wait no longer.	Je ne peux pas attendre plus longtemps.
I can't believe that.	Je n'arrive pas à y croire.
I can't believe this.	Je n'arrive pas à le croire.
I can't carry a tune.	Je ne sais pas chanter juste.
I can't come tonight.	Je ne peux pas venir ce soir.
I can't confirm that.	Je ne peux pas le confirmer.
I can't confirm that.	Je ne peux pas confirmer cela.
I can't confirm this.	Je ne peux pas le confirmer.
I can't confirm this.	Je suis dans l'incapacité de le confirmer.
I can't count on Tom.	Je ne peux pas compter sur Tom.
I can't dance either.	Je ne sais pas non plus danser.
I can't dance either.	Je ne sais pas danser non plus.
I can't dance either.	Je ne sais pas davantage danser.
I can't do it either.	Je ne peux pas le faire non plus.
I can't do that, sir.	Je ne peux pas faire cela, Monsieur.
I can't eat all this.	Je ne peux pas manger tout ça.
I can't eat any more.	Je ne peux rien avaler de plus.
I can't eat any more.	Je ne peux pas manger davantage.
I can't eat any more.	Je n'arrive plus à manger.
I can't get involved.	Je ne peux m'impliquer.
I can't get involved.	Je ne peux pas m'impliquer.
I can't hear a thing.	Je n'arrive pas à entendre quoi que ce soit.
I can't hear a thing.	Je ne parviens pas à entendre quoi que ce soit.
I can't help you now.	Je ne peux pas vous aider maintenant.
I can't imagine that.	Je ne peux pas me l'imaginer.
I can't kiss you now.	Je ne peux t'embrasser maintenant.
I can't kiss you now.	Je ne peux vous embrasser maintenant.
I can't kiss you now.	Je ne peux pas t'embrasser maintenant.
I can't kiss you now.	Je ne peux pas vous embrasser maintenant.
I can't move my legs.	Je ne peux pas bouger les jambes.
I can't move my legs.	Je ne parviens pas à bouger les jambes.
I can't pay the rent.	Je ne suis pas en mesure de payer le loyer.
I can't see anything.	Je ne vois rien.
I can't sleep at all!	Je n'arrive pas du tout à dormir.
I can't speak French.	Je ne sais pas parler français.
I can't speak German.	Je ne sais pas parler allemand.
I can't speak German.	Je ne parle pas allemand.
I can't speak to Tom.	Je ne peux pas parler à Tom.
I can't stop smoking.	Je ne parviens pas à m'arrêter de fumer.
I can't stop writing.	Je ne peux pas m’arrêter d'écrire.
I can't take chances.	Je ne peux prendre aucun risque.
I can't tell you yet.	Je ne peux pas encore te le dire.
I can't tell you yet.	Je ne peux vous le dire encore.
I can't wait all day.	Je ne peux pas attendre toute la journée.
I can't wait for Tom.	Je ne peux pas attendre Tom.
I can't wait for you.	Je ne peux pas t'attendre.
I can't wait forever.	Je ne peux pas attendre indéfiniment.
I cannot drive a bus.	Je ne sais pas conduire un bus.
I cannot read French.	Je ne sais pas lire le français.
I caused an accident.	J'ai causé un accident.
I caused an accident.	J'ai provoqué un accident.
I checked everywhere.	J'ai vérifié partout.
I chose not to leave.	J'ai choisi de ne pas partir.
I closed my umbrella.	Je fermai mon parapluie.
I convinced everyone.	J'ai convaincu tout le monde.
I could barely speak.	Je pouvais à peine parler.
I could kill you now.	Je pourrais vous tuer, maintenant.
I could kill you now.	Je pourrais te tuer, maintenant.
I could've done that.	J'aurais pu faire cela.
I couldn't care less.	Je m'en soucie comme d'une guigne.
I couldn't finish it.	Je n'ai pas pu le terminer.
I couldn't finish it.	Je ne pouvais pas le finir.
I count on your help.	Je compte sur votre aide.
I count on your help.	Je compte sur ton aide.
I crossed the street.	Je traversai la rue.
I cut myself shaving.	Je me suis coupée en me rasant.
I daydreamed all day.	J'ai rêvassé toute la journée.
I decided not to eat.	J'ai décidé de ne pas manger.
I demand punctuality.	J'exige de la ponctualité.
I did find something.	J'ai trouvé quelque chose.
I did it a few times.	Je l'ai fait quelques fois.
I did it without you.	Je l'ai fait sans toi.
I did it without you.	Je l'ai fait sans vous.
I did not order this.	Je n'ai pas commandé ça.
I did that yesterday.	Je l'ai fait hier.
I did what was right.	J'ai fait ce qui convenait.
I did what you asked.	J'ai fait ce que tu as demandé.
I did what you asked.	J'ai fait ce que vous avez demandé.
I didn't buy the car.	Je n'ai pas acheté la voiture.
I didn't buy the car.	Je n'achetai pas la voiture.
I didn't do anything.	Je n'ai rien fait !
I didn't do anything.	Je n'ai rien fait.
I didn't fall asleep.	Je ne me suis pas endormi.
I didn't fall asleep.	Je ne me suis pas endormie.
I didn't get the job.	Je n'ai pas décroché le poste.
I didn't get the job.	Je n'ai pas obtenu l'emploi.
I didn't kill anyone.	Je n'ai tué personne.
I didn't look at Tom.	Je n'ai pas regardé Tom.
I didn't mean to pry.	Je ne voulais pas être impoli.
I didn't mean to pry.	Je ne voulais pas être impolie.
I didn't read it all.	Je ne l'ai pas lu entièrement.
I didn't see anybody.	Je n'ai vu personne.
I didn't tell anyone.	Je ne l'ai dit à personne.
I didn't want to die.	Je ne voulais pas mourir.
I do a lot of things.	Je fais de nombreuses choses.
I do appreciate that.	J'apprécie vraiment cela.
I do it all the time.	Je le fais tout le temps.
I do not feel guilty.	Je ne me sens pas coupable.
I do not like spring.	Je n'aime pas le printemps.
I do not mince words.	Je ne mâche pas mes mots.
I do want to open it.	Je veux vraiment l'ouvrir.
I do want to see you.	Je veux vraiment vous voir.
I do want to see you.	Je veux vraiment te voir.
I don't believe that.	Je n'y crois pas.
I don't believe that.	Je ne crois pas ça.
I don't believe this.	Je n'y crois pas.
I don't care anymore.	Je ne m'en soucie plus.
I don't care for him.	Je ne me soucie pas de lui.
I don't care for him.	Lui, je m'en fiche.
I don't deserve this.	Je ne le mérite pas.
I don't deserve this.	Je ne mérite pas ça.
I don't do that well.	Je ne le fais pas bien.
I don't drink coffee.	Je ne bois pas de café.
I don't enjoy tennis.	Je n'aime pas le tennis.
I don't feel like it.	Je n'en ai pas envie.
I don't feel like it.	Je n'en suis pas d'humeur.
I don't feel like it.	Je n'en ai pas le cœur.
I don't feel so good.	Je ne me sens pas très bien.
I don't feel so good.	Je ne me sens pas tellement bien.
I don't feel so well.	Je ne me sens pas si bien.
I don't get out much.	Je ne sors pas beaucoup.
I don't get the joke.	Je n'ai pas compris la blague.
I don't go to church.	Je ne vais pas à l'église.
I don't have a badge.	Je n'ai pas de passe.
I don't have a fever.	Je n'ai pas de fièvre.
I don't have a knife.	Je n'ai pas de couteau.
I don't have a phone.	Je n'ai pas de téléphone.
I don't have all day.	Je n'ai pas toute la journée.
I don't have the key.	Je n'ai pas la clé.
I don't hear a thing.	Je n'entends rien.
I don't hear barking.	Je n'entends pas aboyer.
I don't hold grudges.	Je ne garde pas rancune.
I don't keep a diary.	Je ne tiens pas de journal.
I don't know English.	Je ne sais pas l'anglais.
I don't know English.	J'ignore l'anglais.
I don't know English.	Je ne connais pas l'anglais.
I don't know Russian.	Je ne sais pas le russe.
I don't know exactly.	Je ne sais pas exactement.
I don't know how far.	J'ignore à quelle distance.
I don't know the way.	Je ne connais pas le chemin.
I don't know the way.	J'ignore le chemin.
I don't like doctors.	Je n'aime pas les médecins.
I don't like her hat.	Je n'aime pas son chapeau.
I don't like his hat.	Je n'aime pas son chapeau.
I don't like silence.	Je n'aime pas le silence.
I don't like spiders.	Je n'aime pas les araignées.
I don't like to fail.	Je n'aime pas échouer.
I don't like to lose.	Je n'aime pas perdre.
I don't like to lose.	Je n'apprécie pas de perdre.
I don't like waiting.	Je n'aime pas servir.
I don't like writing.	Je n'aime pas écrire.
I don't mind helping.	Ça ne me dérange pas d'aider.
I don't mind it here.	Ça ne me dérange pas d'être ici.
I don't mind waiting.	Cela ne me fait rien d'attendre.
I don't need a break.	Je n'ai pas besoin de pause.
I don't need it back.	Je n'en ai plus besoin.
I don't need to know.	Je n'ai pas besoin de le savoir.
I don't own a guitar.	Je ne possède pas de guitare.
I don't see anything.	Je ne vois rien.
I don't speak French.	Je ne parle pas français.
I don't speak German.	Je ne parle pas allemand.
I don't trust anyone.	Je ne fais confiance à personne.
I don't want to know.	Je ne veux pas le savoir.
I don't want to play.	Je ne veux pas jouer.
I don't want to stay.	Je ne veux pas rester.
I don't want to stop.	Je ne veux pas m'arrêter.
I don't want to stop.	Je me refuse à y mettre un terme.
I don't want to swim.	Je ne veux pas nager.
I don't want to talk.	Je ne veux pas parler.
I don't work for you.	Je ne travaille pas pour vous.
I don't work for you.	Je ne travaille pas pour toi.
I dropped my earring.	J'ai laissé tomber ma boucle d'oreille.
I dropped my earring.	J'ai fait tomber ma boucle d'oreille.
I eat here every day.	Je mange ici tous les jours.
I eat here every day.	Je mange ici chaque jour.
I enjoy working here.	J'apprécie de travailler ici.
I enjoy your company.	J'apprécie votre compagnie.
I enjoy your company.	J'apprécie ta compagnie.
I expect him to come.	J'attends qu'il vienne.
I expect much of him.	J'attends beaucoup de lui.
I feel kind of tired.	Je me sens comme fatigué.
I feel kind of tired.	Je me sens comme fatiguée.
I feel like an idiot.	Je me sens bête.
I feel like vomiting.	J'ai envie de vomir.
I feel really stupid.	Je me sens vraiment idiot.
I feel really stupid.	Je me sens vraiment idiote.
I feel safe with you.	Je me sens en sécurité, avec vous.
I feel safe with you.	Je me sens en sécurité, avec toi.
I feel sorry for her.	Je suis désolée pour elle.
I feel sorry for her.	Je me sens désolé pour elle.
I feel sorry for her.	Je me sens désolée pour elle.
I feel sorry for him.	Je me sens désolé pour lui.
I feel sorry for him.	Je me sens désolée pour lui.
I feel sorry for you.	Je me sens désolé pour toi.
I feel sorry for you.	Je me sens désolée pour toi.
I feel sorry for you.	Je me sens désolé pour vous.
I feel sorry for you.	Je me sens désolée pour vous.
I feel very betrayed.	Je me sens vraiment trahi.
I feel very betrayed.	Je me sens vraiment trahie.
I felt like an idiot.	Je me sentis idiot.
I felt like an idiot.	Je me sentis idiote.
I felt like an idiot.	Je me suis senti idiot.
I felt like an idiot.	Je me suis sentie idiote.
I felt sorry for you.	Je me suis sentie désolée pour vous.
I felt sorry for you.	Je me suis senti désolé pour vous.
I felt sorry for you.	Je me suis sentie désolée pour toi.
I felt sorry for you.	Je me suis senti désolé pour toi.
I finally understand.	Je comprends finalement.
I followed the rules.	J'ai respecté les règles.
I followed the rules.	Je respectai les règles.
I forget who said it.	J'ai oublié qui l'a dit.
I forgot his address.	J'ai oublié son adresse.
I forgot my password.	J'ai oublié mon mot de passe.
I found an apartment.	J'ai trouvé un appartement.
I found the building.	J'ai trouvé l'immeuble.
I get off there, too.	Je descends ici aussi.
I go to Osaka by bus.	Je vais à Osaka en bus.
I go to bed at 10.30.	Je me couche à dix heures et demie.
I got an A in French.	J’ai eu un A en français.
I got it for nothing.	Je l'ai eu pour trois fois rien.
I guess Tom is right.	J'imagine que Tom a raison.
I guess that's right.	Je suppose que c'est vrai.
I guess you're right.	Je suppose que tu as raison.
I guess you're right.	Je suppose que vous avez raison.
I had a busy morning.	J'ai eu une matinée chargée.
I had a good teacher.	J'ai eu un bon instituteur.
I had a good teacher.	J'ai eu un bon professeur.
I had a good teacher.	J'ai eu une bonne institutrice.
I had a heart attack.	J'ai eu une crise cardiaque.
I had a lovely night.	J'ai passé une nuit délicieuse.
I had a lovely night.	J'ai passé une soirée délicieuse.
I had a speech ready.	J'avais un discours de prêt.
I had a tooth pulled.	On m'a arraché une dent.
I had an early lunch.	J'ai déjeuné tôt.
I had an inspiration.	J'eus une inspiration.
I had fun last night.	Je me suis amusée, hier soir.
I had fun last night.	Je me suis amusé, hier soir.
I had it all planned.	J'avais tout prévu.
I had never seen her.	Je ne l'avais jamais vue.
I had no alternative.	Je ne disposais pas d'alternative.
I had no time to eat.	Je n'ai pas eu le temps de manger.
I had no time to eat.	Je n'eus pas le temps de manger.
I had nothing to say.	Je n'avais rien à dire.
I had only one drink.	Je n'ai pris qu'un verre.
I had only one drink.	Je ne pris qu'un verre.
I had to act at once.	J'ai dû agir immédiatement.
I had to act at once.	J'ai dû agir sur-le-champ.
I had to act quickly.	J'ai dû agir rapidement.
I hard-boiled an egg.	J'ai cuit un œuf dur.
I hate cops like him.	Je déteste les flics tels que lui.
I hate hospital food.	Je déteste la nourriture des hôpitaux.
I hate hospital food.	Je déteste la nourriture d'hôpital.
I hate long goodbyes.	Je déteste les longs au revoir.
I hate silent movies.	Je déteste les films muets.
I hated you at first.	Je vous détestais, au début.
I hated you at first.	Je te détestais, au début.
I have a bad sunburn.	J'ai un mauvais coup de soleil.
I have a better idea.	J'ai une meilleure idée.
I have a big problem.	J'ai un gros problème.
I have a few friends.	J'ai quelques amis.
I have a job for you.	J'ai un travail pour toi.
I have a job for you.	J'ai un boulot pour vous.
I have a job for you.	J'ai un boulot pour toi.
I have a job for you.	J'ai un travail pour vous.
I have a new bicycle.	J'ai un nouveau vélo.
I have a new red car.	J'ai une nouvelle voiture rouge.
I have a reservation.	J'ai une réserve.
I have a slight cold.	J'ai un léger rhume.
I have a stomachache.	J'ai mal au ventre.
I have a stomachache.	J'ai mal à l'estomac.
I have a sweet tooth.	Je suis bec sucré.
I have a sweet tooth.	J'ai un penchant pour les sucreries.
I have a wooden comb.	J'ai un peigne en bois.
I have an invitation.	J'ai une invitation.
I have back problems.	J'ai des problèmes de dos.
I have been to India.	Je suis allé en Inde.
I have bleeding gums.	Mes gencives saignent.
I have bottled water.	J'ai de l'eau en bouteille.
I have caught a cold.	J'ai attrapé un rhume.
I have caught a cold.	J'ai attrapé froid.
I have gained weight.	J'ai pris du poids.
I have good eyesight.	J'ai une bonne vue.
I have got to go now.	Il faut que j'y aille maintenant.
I have got to go now.	Je dois partir maintenant.
I have lost my watch.	J'ai perdu ma montre.
I have lost my watch.	J’ai perdu ma montre.
I have lots of ideas.	J'ai plein d'idées.
I have lots of money.	Je dispose de beaucoup d'argent.
I have lunch at noon.	Je déjeune à midi.
I have misjudged you.	Je vous ai méjugé.
I have misjudged you.	Je t'ai méjugé.
I have misjudged you.	Je vous ai méjugée.
I have misjudged you.	Je t'ai méjugée.
I have my own theory.	J'ai ma propre théorie.
I have no experience.	Je n'ai pas d'expérience.
I have no experience.	Je suis dépourvu d'expérience.
I have no experience.	Je suis dépourvue d'expérience.
I have no more ideas.	Je suis à court d'idées.
I have no statistics.	Je ne dispose pas de statistiques.
I have no use for it.	Je n'en ai pas l'usage.
I have poor eyesight.	J'ai une mauvaise vue.
I have read the book.	J'ai lu le livre.
I have seen it a lot.	Je l'ai beaucoup vu.
I have so many ideas.	J'ai tellement d'idées !
I have so many ideas.	J'ai tant d'idées !
I have such bad luck.	J'ai une telle poisse !
I have thirteen cats.	J'ai treize chats.
I have three cameras.	J'ai trois appareils photo.
I have three cousins.	J'ai trois cousins.
I have three sisters.	J'ai trois sœurs.
I have three tickets.	J'ai trois billets.
I have to be careful.	Il me fait être prudent.
I have to do my best.	Je dois faire de mon mieux.
I have to do my hair.	Il faut que je me coiffe.
I have to go to work.	Je dois aller au travail.
I have to see it all.	Il me faut le voir en entier.
I have to wear boots.	Il faut que je porte des bottes.
I have two daughters.	J'ai deux filles.
I haven't had dinner.	Je n'ai pas dîné.
I heard the question.	J'ai entendu la question.
I heard you did well.	J'ai entendu dire que vous vous en étiez bien tiré.
I heard you did well.	J'ai entendu dire que tu t'en étais bien tiré.
I hit on a good idea.	Il m'est venu une bonne idée.
I hope it's not true.	J'espère que ce n'est pas vrai.
I hope that's a joke.	J'espère que c'est une blague.
I hope you're hungry.	J'espère que tu as faim.
I hope you're hungry.	J'espère que vous avez faim.
I hugged her tightly.	Je l'ai étroitement enlacée.
I just bought a boat.	Je viens d'acheter un bateau.
I just can't help it.	Je ne peux simplement m'en empêcher.
I just can't help it.	Je ne peux simplement pas m'en empêcher.
I just can't take it.	Je ne peux simplement pas le prendre.
I just can't take it.	Je ne peux simplement pas encaisser ça.
I just cracked a rib.	Je viens de me fêler une côte.
I just cut my finger.	Je viens de me couper le doigt.
I just don't like it.	Je n'aime pas ça, un point c'est tout.
I just don't like it.	Je ne l'aime pas, un point c'est tout.
I just need a minute.	J'ai juste besoin d'une minute.
I just took a shower.	Je viens de prendre une douche.
I just took a shower.	J'ai simplement pris une douche.
I just want you back.	Je veux simplement que tu me reviennes.
I just want you back.	Je veux simplement que tu reviennes avec moi.
I keep thirteen cats.	J'ai treize chats.
I kept my mouth shut.	J'ai tenu ma langue.
I kept my mouth shut.	Je tins ma langue.
I kept my mouth shut.	Je n'ai pas dit mot.
I kept my mouth shut.	Je ne dis pas mot.
I knew I could do it.	Je savais que je pouvais le faire.
I knew I could do it.	Je savais pouvoir le faire.
I knew I'd be blamed.	Je savais qu'on me le reprocherait.
I knew Tom would win.	Je savais que Tom gagnerait.
I knew it was a joke.	Je savais que c'était une blague.
I knew we'd find you.	Je savais que nous vous trouverions.
I knew we'd find you.	Je savais que nous te trouverions.
I knew you'd like it.	Je savais que vous l'aimeriez.
I knew you'd like it.	Je savais que tu l'aimerais.
I know I can do that.	Je sais pouvoir le faire.
I know Tom very well.	Je connais très bien Tom.
I know Tom was angry.	Je sais que Tom était en colère.
I know all about you.	Je sais tout de toi.
I know all about you.	Je sais tout de vous.
I know all about you.	Je sais tout à ton sujet.
I know all about you.	Je sais tout à votre sujet.
I know her very well.	Je la connais très bien.
I know him very well.	Je le connais très bien.
I know him very well.	Je le connais fort bien.
I know it's not easy.	Je sais que ce n'est pas facile.
I know it's not fair.	Je sais que ce n'est pas juste.
I know it's not true.	Je sais que ce n'est pas vrai.
I know lots of songs.	Je connais de nombreuses chansons.
I know sign language.	Je connais la langue des signes.
I know that you know.	Je sais que tu sais.
I know that you know.	Je sais que vous savez.
I know the gentleman.	Je connais ce gentleman.
I know what they are.	Je sais ce qu'ils sont.
I know what they are.	Je sais ce qu'elles sont.
I know what to study.	Je sais quoi étudier.
I know what you know.	Je sais ce que tu sais.
I know what you mean.	Je sais ce que tu veux dire.
I know what you mean.	Je sais ce que vous voulez dire.
I know why he did it.	Je sais pourquoi il a fait ça.
I know you know this.	Je sais que tu sais cela.
I know you're scared.	Je sais que vous avez peur.
I know you're scared.	Je sais que tu as peur.
I know your roommate.	Je connais ton compagnon de chambre.
I know your roommate.	Je connais votre compagnon de chambre.
I know your roommate.	Je connais ton compagnon de chambrée.
I know your roommate.	Je connais ta camarade de chambre.
I know your roommate.	Je connais votre camarade de chambre.
I leave it up to you.	Je te laisse en décider.
I leave it up to you.	Je vous laisse en décider.
I leave it up to you.	Je laisse cela à tes soins.
I leave it up to you.	Je laisse cela à vos soins.
I leave this evening.	Je pars ce soir.
I left the door open.	J'ai laissé la porte ouverte.
I left you a message.	Je vous ai laissé un message.
I left you a message.	Je t'ai laissé un message.
I lent Tom my camera.	J'ai prêté mon appareil photo à Tom.
I let go of the rope.	J'ai lâché la corde.
I let go of the rope.	Je lâchai la corde.
I lied to my parents.	J'ai menti à mes parents.
I like Japanese food.	J'aime la cuisine japonaise.
I like canned fruits.	J'aime les fruits en conserve.
I like coffee better.	J'aime mieux le café.
I like coffee better.	Je préfère le café.
I like her dark eyes.	J'aime ses yeux foncés.
I like her very much.	Je l'aime beaucoup.
I like her very much.	Je l'apprécie beaucoup.
I like him very much.	Je l'aime beaucoup.
I like painting, too.	J'aime peindre aussi.
I like reading books.	J'aime lire des livres.
I like to eat apples.	J'aime manger des pommes.
I like to play poker.	J'aime jouer au poker.
I like to read books.	J'aime lire des livres.
I like to sing songs.	J'aime chanter des chansons.
I like you very much.	Je t'aime beaucoup.
I like your attitude.	J'apprécie ton attitude.
I like your attitude.	J'apprécie votre attitude.
I like your earrings.	J'aime tes boucles d'oreilles.
I like your necklace.	J'aime votre collier.
I like your necklace.	J'aime ton collier.
I like your painting.	J'apprécie ton tableau.
I like your painting.	J'apprécie votre tableau.
I like your painting.	J'aime ton tableau.
I like your painting.	J'aime votre tableau.
I liked your dancing.	J'ai apprécié votre danse.
I liked your dancing.	J'ai apprécié ta danse.
I liked your friends.	J'ai apprécié tes amis.
I liked your friends.	J'ai apprécié tes amies.
I liked your friends.	J'appréciai tes amis.
I liked your friends.	J'ai apprécié vos amis.
I liked your friends.	J'ai apprécié vos amies.
I liked your friends.	J'appréciai tes amies.
I liked your friends.	J'appréciai vos amis.
I liked your friends.	J'appréciai vos amies.
I live a simple life.	Je mène une vie simple.
I live in a big city.	J'habite dans une grande ville.
I live in this hotel.	J'habite dans cet hôtel.
I look forward to it.	J'attends cela avec impatience.
I look forward to it.	Je m'en réjouis d'avance.
I looked at my watch.	J'ai regardé ma montre.
I looked for the key.	Je cherchais la clef.
I lost my flashlight.	J'ai perdu ma lampe-torche.
I lost my house keys.	J'ai perdu les clés de chez moi.
I lost my sunglasses.	J'ai égaré mes lunettes de soleil.
I lost that argument.	J'ai perdu cette joute verbale.
I lost that argument.	Je perdis cette joute verbale.
I lost track of time.	J'ai perdu la notion du temps.
I love American food.	J'aime la nourriture américaine.
I love French movies.	J'adore les films français.
I love beach parties.	J'adore les fêtes sur la plage.
I love fried bananas.	J'adore les bananes frites.
I love reading books.	J'adore lire des livres.
I love the food here.	J'adore la nourriture, ici.
I love your daughter.	J'adore votre fille.
I love your daughter.	J'aime votre fille.
I love your daughter.	J'adore ta fille.
I made a big mistake.	J'ai commis une grosse erreur.
I made a big mistake.	Je commis une grosse erreur.
I made a few changes.	J'ai effectué quelques modifications.
I made a lucky guess.	J'ai hasardé une heureuse hypothèse.
I made a model plane.	Je fabriquais une maquette d'avion.
I made a paper plane.	Je fis un avion de papier.
I made a paper plane.	J'ai fait un avion de papier.
I made a paper plane.	J'ai fait un avion en papier.
I made that decision.	J'ai pris cette décision.
I major in economics.	Je suis spécialisé en Sciences Économiques.
I make a good living.	Je gagne bien ma vie.
I may as well go now.	Je ferais bien d'y aller maintenant.
I mean no disrespect.	Je ne veux pas manquer de respect.
I meant it as a joke.	C'était censé être une blague.
I meant it as a joke.	Ça se voulait une blague.
I memorized the poem.	J'ai mémorisé le poème.
I memorized the poem.	J'ai mémorisé la poésie.
I met Mary yesterday.	J'ai rencontré Mary hier.
I met Mary yesterday.	Hier, j'ai rencontré Marie.
I met a friend there.	J'ai rencontré un ami là-bas.
I met a friend there.	J'ai rencontré une amie là-bas.
I met him about noon.	Je l'ai rencontré vers midi.
I met him in January.	Je l'ai rencontré en janvier.
I met him in January.	Je le rencontrai en janvier.
I met them last week.	Je les ai rencontrés la semaine dernière.
I miss you very much.	Tu me manques beaucoup.
I missed you so much.	Tu m'as tellement manqué !
I missed you so much.	Vous m'avez tellement manqué !
I must be going deaf.	Je dois devenir sourd.
I must be going deaf.	Je dois devenir sourde.
I must buy some milk.	Je dois acheter du lait.
I must talk with you.	Je dois parler avec toi.
I nearly blacked out.	J'ai presque perdu la mémoire.
I need a clean shirt.	J'ai besoin d'une chemise propre.
I need a drink first.	Il me faut d'abord un verre.
I need a fresh start.	J'ai besoin de recommencer à neuf.
I need a little time.	J'ai besoin d'un peu de temps.
I need a new bicycle.	J'ai besoin d'un nouveau vélo.
I need a new bicycle.	Il me faut un nouveau vélo.
I need another drink.	Il me faut un autre verre.
I need another drink.	J'ai besoin d'un autre verre.
I need it right away.	J'en ai besoin tout de suite.
I need more blankets.	J'ai besoin de plus de couvertures.
I need to go to work.	Je dois aller au travail.
I need to study math.	J'ai besoin d'étudier les maths.
I need you right now.	J'ai immédiatement besoin de toi.
I need you right now.	J'ai immédiatement besoin de vous.
I need you right now.	J'ai besoin de toi sur-le-champ.
I need you right now.	J'ai besoin de vous sur-le-champ.
I needed to meet you.	J'avais besoin de te rencontrer.
I needed to meet you.	J'avais besoin de vous rencontrer.
I never asked for it.	Je ne l'ai jamais requis.
I never asked for it.	Je ne l'ai jamais demandé.
I never did it again.	Je ne l'ai jamais refait.
I never liked school.	Je n'ai jamais aimé l'école.
I never saw his face.	Je n’ai jamais vu son visage.
I no longer like you.	Je ne t'aime plus.
I no longer love him.	Je ne l'aime plus.
I no longer love you.	Je ne t'aime plus.
I no longer love you.	Je ne vous aime plus.
I now agree with Tom.	Je suis maintenant d'accord avec Tom.
I only need a minute.	Je n'ai besoin que d'une minute.
I only need a minute.	Il ne me faut qu'une minute.
I only saw the apple.	J'ai seulement vu la pomme.
I ordered fries, too.	J'ai également commandé des frites.
I owe a lot of money.	Je dois beaucoup d'argent.
I owe him 50,000 yen.	Je lui dois 50,000 yens.
I owe him some money.	Je lui dois un peu d'argent.
I owe him some money.	Je lui dois quelque argent.
I parked around back.	J'ai fait le tour pour me garer derrière.
I plan to do it soon.	Je projette de le faire bientôt.
I pleaded not guilty.	J'ai plaidé non coupable.
I prefer it that way.	Je le préfère ainsi.
I prefer it that way.	Je le préfère comme ça.
I prefer it that way.	Je le préfère de cette façon.
I prefer it this way.	Je le préfère ainsi.
I prefer it this way.	Je le préfère de cette manière.
I prefer to be alone.	Je préfère être seul.
I prefer to be alone.	Je préfère être seule.
I prefer to go alone.	Je préfère y aller seul.
I prefer to go alone.	Je préfère y aller seule.
I prefer to go alone.	Je préfère m'y rendre seul.
I prefer to go alone.	Je préfère m'y rendre seule.
I put on my trousers.	Je mets mon pantalon.
I put on my trousers.	Je mis mon pantalon.
I put on my trousers.	Je passai mon pantalon.
I put on my trousers.	Je passe mon pantalon.
I ran into my friend.	J'ai percuté mon ami.
I ran like lightning.	J'ai couru à la vitesse de l'éclair.
I really didn't care.	Je ne m'en souciais vraiment pas.
I really like garlic.	J'aime vraiment l'ail.
I really like garlic.	J'aime beaucoup l'ail.
I really love my job.	J'aime vraiment mon travail.
I really ought to go.	Il me faut vraiment y aller.
I really ought to go.	Il me faut vraiment m'en aller.
I really wasn't sure.	Je n'en étais pas vraiment sûr.
I really wasn't sure.	Je n'en étais pas vraiment sûre.
I received your note.	J'ai reçu votre note.
I received your note.	J'ai reçu ta note.
I rechecked the data.	J'ai à nouveau vérifié les données.
I rechecked the data.	J'ai de nouveau vérifié les données.
I refuse to allow it.	Je refuse de le permettre.
I refused to be paid.	J'ai refusé d'être payé.
I regret going there.	Je regrette d'y être allé.
I regret kissing you.	Je regrette de t'avoir embrassée.
I regret kissing you.	Je regrette de t'avoir embrassé.
I regret saying that.	Je regrette avoir dit ça.
I regret saying that.	Je regrette avoir dit cela.
I rejected the offer.	J'ai rejeté l'offre.
I rejected the offer.	J'ai rejeté la proposition.
I remember something.	Je me souviens de quelque chose.
I remember this poem.	Je me souviens de ce poème.
I remember this word.	Je me souviens de ce mot.
I remember this word.	Je me souviens de cette parole.
I said don't do that.	J'ai dit de ne pas le faire.
I said it might rain.	J'ai dit qu'il pourrait pleuvoir.
I saw you snickering.	Je t'ai vu pouffer.
I saw you snickering.	Je t'ai vue pouffer.
I saw you snickering.	Je vous ai vu pouffer.
I saw you snickering.	Je vous ai vue pouffer.
I saw you snickering.	Je vous ai vues pouffer.
I saw you snickering.	Je vous ai vus pouffer.
I see no alternative.	Je ne vois pas d'alternative.
I sent you an e-mail.	Je t'ai envoyé un courrier électronique.
I should go with you.	Je devrais aller avec vous.
I should go with you.	Je devrais aller avec toi.
I should've told you.	J'aurais dû te le dire.
I should've told you.	J'aurais dû vous le dire.
I shouldn't complain.	Je ne devrais pas me plaindre.
I showed her my room.	Je lui ai montré ma chambre.
I showed him my room.	Je lui ai montré ma chambre.
I showed him the way.	Je lui indiquai le chemin.
I showed him the way.	Je lui ai indiqué le chemin.
I shower every night.	Je me douche chaque soir.
I sincerely hope not.	Je ne l'espère sincèrement pas.
I sometimes watch TV.	Je regarde parfois la télévision.
I sort of understand.	Je comprends à peu près.
I started this topic.	J'ai ouvert ce sujet.
I still don't get it.	Je ne capte toujours pas.
I still don't get it.	Je ne saisis toujours pas.
